item_number,item_code,variable,text_a,text_b,text,required
44,q044,samoal_q044,У меня всегда есть своя собственная точка зрения по важным вопросам.,"Формируя свою точку зрения, я склонен прислушиваться к мнениям уважаемых и авторитетных людей.",Пункт 44,yes
45,q045,samoal_q045,Секс без любви не является ценностью.,Даже без любви секс - очень значимая ценность.,Пункт 45,yes
46,q046,samoal_q046,Я чувствую себя ответственным за настроение собеседника.,Я не чувствую себя ответственным за это.,Пункт 46,yes
47,q047,samoal_q047,Я легко мирюсь со своими слабостями.,Смириться со своими слабостями мне нелегко.,Пункт 47,yes
48,q048,samoal_q048,"Успех в общении зависит от того, насколько человек способен раскрыть себя другому.",Успех в общении зависит от умения подчеркнуть свои достоинства и скрыть недостатки.,Пункт 48,yes
49,q049,samoal_q049,"Мое чувство самоуважения зависит от того, чего я достиг.",Мое самоуважение не зависит от моих достижений.,Пункт 49,yes
50,q050,samoal_q050,"Большинство людей привыкли действовать ""по линии наименьшего сопротивления"".","Думаю, что большинство людей к этому не склонны.",Пункт 50,yes
51,q051,samoal_q051,Узкая специализация необходима для настоящего ученого.,Углубление в узкую специализацию делает человека ограниченным.,Пункт 51,yes
52,q052,samoal_q052,"Очень важно, есть ли у человека в жизни радость познания и творчества.",В жизни очень важно приносить пользу людям.,Пункт 52,yes
53,q053,samoal_q053,Мне нравится участвовать в жарких спорах.,Я не люблю споров.,Пункт 53,yes
54,q054,samoal_q054,"Я интересуюсь предсказаниями, гороскопами, астрологическими прогнозами.",Подобные вещи меня не интересуют.,Пункт 54,yes
55,q055,samoal_q055,Человек должен трудиться ради удовлетворения своих потребностей и блага своей семьи.,"Человек должен трудиться, чтобы реализовать свои способности и желания.",Пункт 55,yes
56,q056,samoal_q056,В решении личных проблем я руководствуюсь общепринятыми представлениями.,"Свои проблемы я решаю так, как считаю нужным.",Пункт 56,yes
57,q057,samoal_q057,"Воля нужна для того, чтобы сдерживать желания и контролировать чувства.",Главное назначение воли - подхлестывать усилия и увеличивать энергию человека.,Пункт 57,yes
58,q058,samoal_q058,Я не стесняюсь своих слабостей перед друзьями.,Мне нелегко обнаруживать свои слабости даже перед друзьями.,Пункт 58,yes
59,q059,samoal_q059,Человеку свойственно стремиться к новому.,Люди стремятся к новому лишь по необходимости.,Пункт 59,yes
60,q060,samoal_q060,"Я думаю, что неверно выражение ""Век живи - век учись"".","Выражение ""Век живи - век учись"" я считаю правильным.",Пункт 60,yes
61,q061,samoal_q061,"Я думаю, что смысл жизни заключается в творчестве.",Вряд ли в творчестве можно найти смысл жизни.,Пункт 61,yes
62,q062,samoal_q062,"Мне бывает непросто познакомиться с человеком, который мне симпатичен.","Я не испытываю трудностей, знакомясь с людьми.",Пункт 62,yes
63,q063,samoal_q063,"Меня огорчает, что значительная часть жизни проходит впустую.","Не могу сказать, что какая-то часть моей жизни проходит впустую.",Пункт 63,yes
64,q064,samoal_q064,Одаренному человеку непростительно пренебрегать своим долгом.,"Талант и способности значат больше, чем долг.",Пункт 64,yes
65,q065,samoal_q065,Мне хорошо удается манипулировать людьми.,"Я полагаю, что манипулировать людьми неэтично.",Пункт 65,yes
66,q066,samoal_q066,Я стараюсь избегать огорчений.,"Я делаю то, что полагаю нужным, не считаясь с возможными огорчениями.",Пункт 66,yes
67,q067,samoal_q067,В большинстве ситуаций я не могу позволить себе дурачиться.,"Существует множество ситуаций, где я могу позволить себе дурачиться.",Пункт 67,yes
68,q068,samoal_q068,Критика в мой адрес снижает мою самооценку.,Критика практически не влияет на мою самооценку.,Пункт 68,yes
69,q069,samoal_q069,"Зависть свойственна только неудачникам, которые считают, что их обошли.","Большинство людей завистливы, хотя и пытаются это скрыть.",Пункт 69,yes
70,q070,samoal_q070,"Выбирая для себя занятие, человек должен учитывать его общественную значимость.","Человек должен заниматься прежде всего тем, что ему интересно.",Пункт 70,yes
71,q071,samoal_q071,"Я думаю, что для творчества необходимы знания в избранной области.","Я думаю, что знания для этого совсем не обязательны.",Пункт 71,yes
72,q072,samoal_q072,"Пожалуй, я могу сказать, что живу с ощущением счастья.","Я не могу сказать, что живу с ощущением счастья.",Пункт 72,yes
73,q073,samoal_q073,"Я думаю, что люди должны анализировать себя и свою жизнь.","Я считаю, что самоанализ приносит больше вреда, чем пользы.",Пункт 73,yes
74,q074,samoal_q074,"Я пытаюсь найти основания даже для тех своих поступков, которые совершаю просто потому, что мне этого хочется.",Я не ищу оснований для своих действий и поступков.,Пункт 74,yes
75,q075,samoal_q075,"Я уверен, что любой может прожить свою жизнь так, как ему хочется.","Я думаю, что у человека мало шансов прожить свою жизнь, как хотелось бы.",Пункт 75,yes
76,q076,samoal_q076,"О человеке никогда нельзя сказать с уверенностью, добрый он или злой.",Обычно оценить человека очень легко.,Пункт 76,yes
77,q077,samoal_q077,Для творчества нужно очень много свободного времени.,"Мне кажется, что в жизни всегда можно найти время для творчества.",Пункт 77,yes
78,q078,samoal_q078,Обычно мне легко убедить собеседника в своей правоте.,"В споре я пытаюсь понять точку зрения собеседника, а не переубедить его.",Пункт 78,yes
79,q079,samoal_q079,"Если я делаю что-либо исключительно для себя, мне бывает неловко.",Я не испытываю неловкости в такой ситуации.,Пункт 79,yes
80,q080,samoal_q080,Я считаю себя творцом своего будущего.,Вряд ли я сильно влияю на собственное будущее.,Пункт 80,yes
81,q081,samoal_q081,"Выражение ""Добро должно быть с кулаками"" я считаю правильным.","Вряд ли верно выражение ""Добро должно быть с кулаками"".",Пункт 81,yes
82,q082,samoal_q082,"По-моему, недостатки людей гораздо заметнее, чем их достоинства.","Достоинства человека увидеть гораздо легче, чем его недостатки.",Пункт 82,yes
83,q083,samoal_q083,Иногда я боюсь быть самим собой.,Я никогда не боюсь быть самим собой.,Пункт 83,yes
84,q084,samoal_q084,Я стараюсь не вспоминать о своих былых неприятностях.,Время от времени я склонен возвращаться к воспоминаниям о прошлых неудачах.,Пункт 84,yes
85,q085,samoal_q085,"Я считаю, что целью жизни должно быть нечто значительное.","Я вовсе не считаю, что целью жизни непременно должно быть что-то значительное.",Пункт 85,yes
86,q086,samoal_q086,"Люди стремятся к тому, чтобы понимать и доверять друг другу.","Замыкаясь в кругу собственных интересов, люди не понимают окружающих.",Пункт 86,yes
87,q087,samoal_q087,"Я стараюсь не быть ""белой вороной"".","Я позволяю себе быть ""белой вороной"".",Пункт 87,yes
88,q088,samoal_q088,В доверительной беседе люди обычно искренни.,Даже в доверительной беседе человеку трудно быть искренним.,Пункт 88,yes
89,q089,samoal_q089,"Бывает, что я стыжусь проявлять свои чувства.",Я никогда этого не стыжусь.,Пункт 89,yes
90,q090,samoal_q090,"Я могу делать что-либо для других, не требуя, чтобы они это оценили.","Я вправе ожидать от людей, что они оценят то, что я для них делаю.",Пункт 90,yes
91,q091,samoal_q091,"Я проявляю свое расположение к человеку независимо от того, взаимно ли оно.","Я редко проявляю свое расположение к людям, не будучи уверенным, что оно взаимно.",Пункт 91,yes
92,q092,samoal_q092,"Я думаю, что в общении нужно открыто проявлять свое недовольство другими.","Мне кажется, что в общении люди должны скрывать взаимное недовольство.",Пункт 92,yes
93,q093,samoal_q093,Я мирюсь с противоречиями в самом себе.,Внутренние противоречия снижают мою самооценку.,Пункт 93,yes
94,q094,samoal_q094,Я стремлюсь открыто выражать свои чувства.,"Думаю, что в открытом выражении чувств всегда есть элемент несдержанности.",Пункт 94,yes
95,q095,samoal_q095,Я уверен в себе.,"Не могу сказать, что я уверен в себе.",Пункт 95,yes
96,q096,samoal_q096,Достижение счастья не может быть главной целью человеческих отношений.,Достижение счастья - главная цель человеческих отношений.,Пункт 96,yes
97,q097,samoal_q097,"Меня любят, потому что я этого заслуживаю.","Меня любят, потому что я сам способен любить.",Пункт 97,yes
98,q098,samoal_q098,Неразделенная любовь способна сделать жизнь невыносимой.,"Жизнь без любви хуже, чем неразделенная любовь в жизни.",Пункт 98,yes
99,q099,samoal_q099,"Если разговор не удался, я пробую выстроить его по-иному.","Обычно в том, что разговор не сложился, виновата невнимательность собеседника.",Пункт 99,yes
100,q100,samoal_q100,Я стараюсь производить на людей хорошее впечатление.,"Люди видят меня таким, каков я на самом деле.",Пункт 100,yes
